"Statistic Label","Quarter","Size of Employees per Enterprise","Economic Sector NACE Rev 2","UNIT","VALUE"
"Average Hourly Earnings","2018Q2","Under 50","Administrative and support service activities (N)","Euro","20.43"
"Average Hourly Earnings","2018Q2","Under 50","Public administration and defence; compulsory social security (O)","Euro","25.83"
"Average Hourly Earnings","2018Q2","Under 50","Education (P)","Euro","18.77"
"Average Hourly Earnings","2018Q2","Under 50","Human health and social work activities (Q)","Euro","18.13"
"Average Hourly Earnings","2018Q2","Under 50","Industry (B to E)","Euro","18.51"
"Average Hourly Earnings","2018Q2","Under 50","Financial, insurance and real estate activities (K,L)","Euro","33.04"
"Average Hourly Earnings","2018Q2","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","15.56"
"Average Hourly Earnings","2018Q2","50 - 250","All NACE economic sectors","Euro","21.08"
"Average Hourly Earnings","2018Q2","50 - 250","Construction (F)","Euro","23.47"
"Average Hourly Earnings","2018Q2","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","20.17"
"Average Hourly Earnings","2018Q2","50 - 250","Transportation and storage (H)","Euro","19.58"
"Average Hourly Earnings","2018Q2","50 - 250","Accommodation and food service activities (I)","Euro","13.02"
"Average Hourly Earnings","2018Q2","50 - 250","Information and communication (J)","Euro","30.69"
"Average Hourly Earnings","2018Q2","50 - 250","Professional, scientific and technical activities (M)","Euro","30.22"
"Average Hourly Earnings","2018Q2","50 - 250","Administrative and support service activities (N)","Euro","19.47"
"Average Hourly Earnings","2018Q2","50 - 250","Public administration and defence; compulsory social security (O)","Euro","31.26"
"Average Hourly Earnings","2018Q2","50 - 250","Education (P)","Euro","25.91"
"Average Hourly Earnings","2018Q2","50 - 250","Human health and social work activities (Q)","Euro","17.34"
"Average Hourly Earnings","2018Q2","50 - 250","Industry (B to E)","Euro","20.62"
"Average Hourly Earnings","2018Q2","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","32.56"
"Average Hourly Earnings","2018Q2","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","20.03"
"Average Hourly Earnings","2018Q2","Greater than 250","All NACE economic sectors","Euro","26.15"
"Average Hourly Earnings","2018Q2","Greater than 250","Construction (F)","Euro","23.79"
"Average Hourly Earnings","2018Q2","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","18.41"
"Average Hourly Earnings","2018Q2","Greater than 250","Transportation and storage (H)","Euro","25.01"
"Average Hourly Earnings","2018Q2","Greater than 250","Accommodation and food service activities (I)","Euro","13.2"
"Average Hourly Earnings","2018Q2","Greater than 250","Information and communication (J)","Euro","35.04"
"Average Hourly Earnings","2018Q2","Greater than 250","Professional, scientific and technical activities (M)","Euro","29.1"
"Average Hourly Earnings","2018Q2","Greater than 250","Administrative and support service activities (N)","Euro","15.86"
"Average Hourly Earnings","2018Q2","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","26.05"
"Average Hourly Earnings","2018Q2","Greater than 250","Education (P)","Euro","39.71"
"Average Hourly Earnings","2018Q2","Greater than 250","Human health and social work activities (Q)","Euro","25.14"
"Average Hourly Earnings","2018Q2","Greater than 250","Industry (B to E)","Euro","25.97"
"Average Hourly Earnings","2018Q2","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","31.01"
"Average Hourly Earnings","2018Q2","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","18.6"
"Average Hourly Earnings","2018Q3","Under 50","All NACE economic sectors","Euro","18.82"
"Average Hourly Earnings","2018Q3","Under 50","Construction (F)","Euro","19.73"
"Average Hourly Earnings","2018Q3","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","17.5"
"Average Hourly Earnings","2018Q3","Under 50","Transportation and storage (H)","Euro","20.97"
"Average Hourly Earnings","2018Q3","Under 50","Accommodation and food service activities (I)","Euro","12.59"
"Average Hourly Earnings","2018Q3","Under 50","Information and communication (J)","Euro","26.93"
"Average Hourly Earnings","2018Q3","Under 50","Professional, scientific and technical activities (M)","Euro","24.42"
"Average Hourly Earnings","2018Q3","Under 50","Administrative and support service activities (N)","Euro","19.98"
"Average Hourly Earnings","2018Q3","Under 50","Public administration and defence; compulsory social security (O)","Euro","25.05"
"Average Hourly Earnings","2018Q3","Under 50","Education (P)","Euro","18.97"
"Average Hourly Earnings","2018Q3","Under 50","Human health and social work activities (Q)","Euro","18.43"
"Average Hourly Earnings","2018Q3","Under 50","Industry (B to E)","Euro","18.71"
"Average Hourly Earnings","2018Q3","Under 50","Financial, insurance and real estate activities (K,L)","Euro","29.76"
"Average Hourly Earnings","2018Q3","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","15.84"
"Average Hourly Earnings","2018Q3","50 - 250","All NACE economic sectors","Euro","20.39"
"Average Hourly Earnings","2018Q3","50 - 250","Construction (F)","Euro","23.27"
"Average Hourly Earnings","2018Q3","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","19.44"
"Average Hourly Earnings","2018Q3","50 - 250","Transportation and storage (H)","Euro","18.4"
"Average Hourly Earnings","2018Q3","50 - 250","Accommodation and food service activities (I)","Euro","13.14"
"Average Hourly Earnings","2018Q3","50 - 250","Information and communication (J)","Euro","29.87"
"Average Hourly Earnings","2018Q3","50 - 250","Professional, scientific and technical activities (M)","Euro","27.55"
"Average Hourly Earnings","2018Q3","50 - 250","Administrative and support service activities (N)","Euro","20.29"
"Average Hourly Earnings","2018Q3","50 - 250","Public administration and defence; compulsory social security (O)","Euro","30.56"
"Average Hourly Earnings","2018Q3","50 - 250","Education (P)","Euro","21.68"
"Average Hourly Earnings","2018Q3","50 - 250","Human health and social work activities (Q)","Euro","17.36"
"Average Hourly Earnings","2018Q3","50 - 250","Industry (B to E)","Euro","20.34"
"Average Hourly Earnings","2018Q3","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","30.77"
"Average Hourly Earnings","2018Q3","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","19.78"
"Average Hourly Earnings","2018Q3","Greater than 250","All NACE economic sectors","Euro","25.87"
"Average Hourly Earnings","2018Q3","Greater than 250","Construction (F)","Euro","24.23"
"Average Hourly Earnings","2018Q3","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","17.52"
"Average Hourly Earnings","2018Q3","Greater than 250","Transportation and storage (H)","Euro","25.39"
"Average Hourly Earnings","2018Q3","Greater than 250","Accommodation and food service activities (I)","Euro","13.12"
"Average Hourly Earnings","2018Q3","Greater than 250","Information and communication (J)","Euro","35.24"
"Average Hourly Earnings","2018Q3","Greater than 250","Professional, scientific and technical activities (M)","Euro","28.14"
"Average Hourly Earnings","2018Q3","Greater than 250","Administrative and support service activities (N)","Euro","16.35"
"Average Hourly Earnings","2018Q3","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","25.49"
"Average Hourly Earnings","2018Q3","Greater than 250","Education (P)","Euro","40.22"
"Average Hourly Earnings","2018Q3","Greater than 250","Human health and social work activities (Q)","Euro","25.12"
"Average Hourly Earnings","2018Q3","Greater than 250","Industry (B to E)","Euro","25.32"
"Average Hourly Earnings","2018Q3","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","29.92"
"Average Hourly Earnings","2018Q3","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","18.12"
"Average Hourly Earnings","2018Q4","Under 50","All NACE economic sectors","Euro","19.69"
"Average Hourly Earnings","2018Q4","Under 50","Construction (F)","Euro","19.83"
"Average Hourly Earnings","2018Q4","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","19.17"
"Average Hourly Earnings","2018Q4","Under 50","Transportation and storage (H)","Euro","21.15"
"Average Hourly Earnings","2018Q4","Under 50","Accommodation and food service activities (I)","Euro","12.78"
"Average Hourly Earnings","2018Q4","Under 50","Information and communication (J)","Euro","28.95"
"Average Hourly Earnings","2018Q4","Under 50","Professional, scientific and technical activities (M)","Euro","24.62"
"Average Hourly Earnings","2018Q4","Under 50","Administrative and support service activities (N)","Euro","20.66"
"Average Hourly Earnings","2018Q4","Under 50","Public administration and defence; compulsory social security (O)","Euro","26.77"
"Average Hourly Earnings","2018Q4","Under 50","Education (P)","Euro","18.1"
"Average Hourly Earnings","2018Q4","Under 50","Human health and social work activities (Q)","Euro","19.04"
"Average Hourly Earnings","2018Q4","Under 50","Industry (B to E)","Euro","18.71"
"Average Hourly Earnings","2018Q4","Under 50","Financial, insurance and real estate activities (K,L)","Euro","32.91"
"Average Hourly Earnings","2018Q4","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","16.48"
"Average Hourly Earnings","2018Q4","50 - 250","All NACE economic sectors","Euro","21.25"
"Average Hourly Earnings","2018Q4","50 - 250","Construction (F)","Euro","24.35"
"Average Hourly Earnings","2018Q4","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","19.85"
"Average Hourly Earnings","2018Q4","50 - 250","Transportation and storage (H)","Euro","19.64"
"Average Hourly Earnings","2018Q4","50 - 250","Accommodation and food service activities (I)","Euro","13.54"
"Average Hourly Earnings","2018Q4","50 - 250","Information and communication (J)","Euro","30.11"
"Average Hourly Earnings","2018Q4","50 - 250","Professional, scientific and technical activities (M)","Euro","28.79"
"Average Hourly Earnings","2018Q4","50 - 250","Administrative and support service activities (N)","Euro","21.41"
"Average Hourly Earnings","2018Q4","50 - 250","Public administration and defence; compulsory social security (O)","Euro","31.06"
"Average Hourly Earnings","2018Q4","50 - 250","Education (P)","Euro","26.14"
"Average Hourly Earnings","2018Q4","50 - 250","Human health and social work activities (Q)","Euro","17.68"
"Average Hourly Earnings","2018Q4","50 - 250","Industry (B to E)","Euro","20.85"
"Average Hourly Earnings","2018Q4","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","31.52"
"Average Hourly Earnings","2018Q4","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","21.66"
"Average Hourly Earnings","2018Q4","Greater than 250","All NACE economic sectors","Euro","26.39"
"Average Hourly Earnings","2018Q4","Greater than 250","Construction (F)","Euro","26.26"
"Average Hourly Earnings","2018Q4","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","18.64"
"Average Hourly Earnings","2018Q4","Greater than 250","Transportation and storage (H)","Euro","26.09"
"Average Hourly Earnings","2018Q4","Greater than 250","Accommodation and food service activities (I)","Euro","13.19"
"Average Hourly Earnings","2018Q4","Greater than 250","Information and communication (J)","Euro","34.9"
"Average Hourly Earnings","2018Q4","Greater than 250","Professional, scientific and technical activities (M)","Euro","29.49"
"Average Hourly Earnings","2018Q4","Greater than 250","Administrative and support service activities (N)","Euro","16.73"
"Average Hourly Earnings","2018Q4","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","25.72"
"Average Hourly Earnings","2018Q4","Greater than 250","Education (P)","Euro","40.02"
"Average Hourly Earnings","2018Q4","Greater than 250","Human health and social work activities (Q)","Euro","25.39"
"Average Hourly Earnings","2018Q4","Greater than 250","Industry (B to E)","Euro","26.17"
"Average Hourly Earnings","2018Q4","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","31"
"Average Hourly Earnings","2018Q4","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","18.4"
"Average Hourly Earnings","2019Q1","Under 50","All NACE economic sectors","Euro","19.71"
"Average Hourly Earnings","2019Q1","Under 50","Construction (F)","Euro","19.2"
"Average Hourly Earnings","2019Q1","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","19.37"
